"name","dates","confirmed","recovered","dead","old","lock","pass","warn","stop"
"Санкт-Петербург",2020-03-02,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-03,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-04,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-05,1,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-06,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-07,1,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-08,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-09,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-10,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-11,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-12,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-13,3,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-14,1,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-15,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-16,3,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-17,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-18,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-19,1,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-20,4,2,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-21,2,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-22,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-23,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-24,5,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-25,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-26,5,3,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-27,0,0,0,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-28,11,0,1,NA,NA,NA,NA,NA
"Санкт-Петербург",2020-03-29,5,0,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-03-30,8,0,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-03-31,48,2,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-01,27,7,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-02,22,4,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-03,9,2,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-04,15,4,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-05,20,4,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-06,35,4,4,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-07,69,4,4,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-08,34,7,3,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-09,44,10,2,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-10,35,6,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-11,80,15,6,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-12,69,0,5,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-13,121,4,5,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-14,121,85,9,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-15,130,7,5,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-16,154,0,11,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-17,424,22,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-18,139,40,2,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-19,114,13,4,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-20,86,8,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-21,127,32,2,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-22,294,42,3,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-23,191,41,4,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-24,253,43,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-25,215,49,3,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-26,151,29,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-27,161,29,2,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-28,198,26,2,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-29,290,164,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-04-30,336,71,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-01,349,0,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-02,323,98,2,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-03,295,184,2,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-04,317,136,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-05,226,271,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-06,312,64,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-07,306,20,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-08,375,45,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-09,425,65,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-10,414,12,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-11,307,7,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-12,339,103,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-13,435,64,1,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-14,460,51,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-15,541,106,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-16,525,104,7,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-17,451,66,5,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-18,425,34,0,TRUE,NA,NA,NA,NA
"Санкт-Петербург",2020-05-19,453,63,5,TRUE,NA,NA,NA,NA
